date,price
0,0
1,869.75
2,860.0
3,844.0
4,864.0
5,842.5
6,854.0
7,848.5
8,815.5
9,827.25
10,813.0
11,824.25
12,842.5
13,835.0
14,860.5
15,847.75
16,873.0
17,906.5
18,896.0
19,891.25
20,878.5
21,918.5
22,913.75
23,902.0
24,902.25
25,914.75
26,914.0
27,901.0
28,896.0
29,922.0
30,944.0
31,939.25
32,943.0
33,962.25
34,964.75
35,973.5
36,981.0
37,987.0
38,989.75
39,956.25
40,945.0
41,943.75
42,949.5
43,924.75
44,911.0
45,913.25
46,937.75
47,934.75
48,911.5
49,900.0
50,914.5
51,920.0
52,923.0
53,920.0
54,910.75
55,937.25
56,957.0
57,952.75
58,928.75
59,921.25
60,935.5
61,927.0
62,923.0
63,918.5
64,919.5
65,914.75
66,901.5
67,879.5
68,879.25
69,887.25
70,883.75
71,895.0
72,892.25
73,889.0
74,872.0
75,870.0
76,888.75
77,885.0
78,894.5
79,909.0
80,911.75
81,897.0
82,894.5
83,889.0
84,881.5
85,903.0
86,903.5
87,912.75
88,917.5
89,912.5
90,920.0
91,925.75
92,923.25
93,925.0
94,929.75
95,921.5
96,928.5
97,940.0
98,952.5
99,942.0
100,949.5
101,949.75
102,972.0
103,987.0
104,973.5
105,979.0
106,967.25
107,977.75
108,946.5
109,952.5
110,961.25
111,953.0
112,950.0
113,932.0
114,936.75
115,933.75
116,936.75
117,933.75
118,924.0
119,920.25
120,928.75
121,934.25
122,943.0
123,939.75
124,941.0
125,931.5
126,936.0
127,932.5
128,921.5
129,925.75
130,920.75
131,914.75
132,910.0
133,908.5
134,921.75
135,930.0
136,935.25
137,934.5
138,952.25
139,947.75
140,945.5
141,955.25
142,949.75
143,956.0
144,955.0
145,935.5
146,932.0
147,936.5
148,954.25
149,953.5
150,964.5
151,960.75
152,960.5
153,953.5
154,946.0
155,943.5
156,956.0
157,957.5
158,937.5
159,938.25
160,934.25
161,943.5
162,941.5
163,953.75
164,947.5
165,949.5
166,943.5
167,950.75
168,949.75
169,955.0
170,982.5
171,987.25
172,992.75
173,1004.5
174,995.75
175,988.5
176,998.25
177,994.25
178,997.5
179,1017.0
180,1020.5
181,1014.0
182,999.25
183,1015.75
184,1014.75
185,1014.0
186,997.0
187,990.5
188,991.75
189,1001.25
190,1005.75
191,998.0
192,1004.25
193,1020.25
194,1047.0
195,1054.75
196,1046.75
197,1052.0
198,1064.5
199,1066.0
200,1052.5
201,1047.75
202,1054.5
203,1064.0
204,1053.5
205,1054.75
206,1061.25
207,1055.0
208,1040.75
209,1035.5
210,1034.0
211,1044.5
212,1052.0
213,1058.0
214,1091.75
215,1088.0
216,1095.0
217,1108.5
218,1099.75
219,1114.75
220,1116.0
221,1107.5
222,1128.75
223,1131.75
224,1146.0
225,1136.0
226,1142.5
227,1166.0
228,1170.25
229,1176.5
230,1183.0
231,1164.5
232,1172.0
233,1193.5
234,1211.5
235,1218.25
236,1203.25
237,1147.5
238,1164.25
239,1142.25
240,1125.75
241,1140.0
242,1120.0
243,1115.0
244,1134.0
245,1121.5
246,1106.5
247,1113.25
248,1094.25
249,1080.5
250,1104.5
251,1103.0
252,1092.5
253,1104.0
254,1113.0
255,1125.25
256,1125.0
257,1130.75
258,1121.75
259,1158.0
260,1152.75
261,1132.75
262,1137.5
263,1132.0
264,1135.75
265,1134.0
266,1129.0
267,1104.0
268,1096.5
269,1103.5
270,1090.75
271,1094.75
272,1091.75
273,1082.75
274,1082.0
275,1114.0
276,1118.5
277,1102.5
278,1052.25
279,1070.0
280,1068.0
281,1075.5
282,1079.5
283,1078.25
284,1099.5
285,1115.25
286,1118.25
287,1105.5
288,1107.0
289,1119.75
290,1112.0
291,1093.0
292,1092.75
293,1112.5
294,1117.25
295,1116.0
296,1136.25
297,1136.25
298,1135.0
299,1134.0
300,1120.0
301,1124.5
302,1106.0
303,1118.75
304,1104.0
305,1113.25
306,1131.25
307,1122.75
308,1121.5
309,1104.25
310,1100.75
311,1094.0
312,1093.5
313,1098.0
314,1111.25
315,1109.75
